x | y | solid | n | e | s | w
3 | 12 | path | f | t | t | f
3 | 13 | path | t | f | f | t
3 | 14 | path | f | t | t | t
3 | 15 | path | t | t | f | f
3 | 16 | path | t | f | t | f
3 | 17 | path | f | f | t | t
3 | 18 | path | f | t | f | t
3 | 19 | path | t | t | f | f
4 | 0 | path | t | f | t | f
4 | 1 | path | f | f | t | f
4 | 2 | path | f | t | f | t
4 | 3 | path | t | t | f | f
4 | 4 | path | t | f | t | f
4 | 5 | path | t | f | t | t
4 | 6 | path | t | f | t | f
4 | 7 | wall | t | t | t | t
4 | 8 | wall | t | t | t | t
4 | 9 | wall | t | t | t | t
4 | 10 | path | t | f | t | f
4 | 11 | path | f | t | t | f
4 | 12 | path | f | t | f | t
4 | 13 | path | f | t | f | f
4 | 14 | path | t | f | f | t
4 | 15 | path | f | f | t | t
4 | 16 | path | t | t | f | f
4 | 17 | path | f | t | t | f
4 | 18 | path | f | t | f | t
4 | 19 | path | t | f | f | t
5 | 0 | path | f | t | t | f
5 | 1 | path | f | t | f | f
5 | 2 | path | f | t | f | t
5 | 3 | path | f | t | f | t
5 | 4 | path | t | t | f | f
5 | 5 | path | f | t | t | f
5 | 6 | path | t | t | f | f
5 | 7 | wall | t | t | t | t
5 | 8 | wall | t | t | t | t
5 | 9 | path | f | f | t | t
5 | 10 | path | f | t | f | f
5 | 11 | path | f | t | f | t
5 | 12 | path | f | t | f | t
5 | 13 | path | f | t | f | t
5 | 14 | path | t | t | f | f
5 | 15 | path | f | t | t | f
5 | 16 | path | f | t | f | t
5 | 17 | path | f | f | f | t
5 | 18 | path | t | f | f | t
5 | 19 | path | t | f | t | f
6 | 0 | path | f | t | t | t
6 | 1 | path | t | f | f | t
6 | 2 | path | f | f | t | t
6 | 3 | path | f | t | f | t
6 | 4 | path | f | t | f | t
6 | 5 | path | f | t | f | t
6 | 6 | path | f | t | f | t
6 | 7 | path | f | t | f | t
6 | 8 | path | f | f | f | t
6 | 9 | path | t | f | f | f
6 | 10 | wall | t | t | t | t
6 | 11 | wall | t | t | t | t
6 | 12 | wall | t | t | t | t
6 | 13 | wall | t | t | t | t
6 | 14 | wall | t | t | t | t
6 | 15 | wall | t | t | t | t
6 | 16 | wall | t | t | t | t
6 | 17 | path | t | f | t | f
6 | 18 | path | t | f | t | f
6 | 19 | path | t | f | t | f
7 | 0 | path | f | f | t | t
7 | 1 | path | t | t | f | f
7 | 2 | path | t | f | t | f
7 | 3 | path | f | f | t | t
7 | 4 | path | f | t | f | t
7 | 5 | path | t | t | f | t
7 | 6 | path | f | f | t | t
7 | 7 | path | f | t | f | t
7 | 8 | path | t | t | f | f
7 | 9 | path | t | f | t | f
7 | 10 | wall | t | t | t | t
7 | 11 | path | f | f | t | t
7 | 12 | path | f | t | f | t
7 | 13 | path | f | t | f | t
7 | 14 | path | f | t | f | t
7 | 15 | path | f | f | f | t
7 | 16 | path | f | t | f | t
7 | 17 | path | t | t | f | f
7 | 18 | path | t | f | t | f
7 | 19 | path | t | f | t | f
8 | 0 | path | t | f | t | f
8 | 1 | path | f | f | t | t
8 | 2 | path | t | t | f | f
8 | 3 | path | f | t | t | f
8 | 4 | path | f | t | f | t
8 | 5 | path | f | t | f | t
8 | 6 | path | t | t | f | f
8 | 7 | path | f | f | t | t
8 | 8 | path | t | f | f | t
8 | 9 | path | t | f | t | f
8 | 10 | wall | t | t | t | t
8 | 11 | path | t | f | t | f
8 | 12 | path | f | f | t | t
8 | 13 | path | f | t | f | t
8 | 14 | path | f | t | f | t
8 | 15 | path | t | f | f | f
8 | 16 | path | f | f | t | t
8 | 17 | path | f | t | f | t
8 | 18 | path | t | t | f | f
8 | 19 | path | t | f | t | f
9 | 0 | path | f | f | t | f
9 | 1 | path | t | t | f | f
9 | 2 | path | f | f | t | t
9 | 3 | path | f | t | f | t
9 | 4 | path | f | t | f | t
9 | 5 | path | f | t | f | t
9 | 6 | path | f | f | f | t
9 | 7 | path | t | f | f | f
9 | 8 | path | t | f | t | f
9 | 9 | path | f | f | t | f
9 | 10 | path | t | f | f | t
9 | 11 | path | t | f | t | f
9 | 12 | path | t | f | t | f
9 | 13 | path | f | f | t | t
9 | 14 | path | t | f | f | t
9 | 15 | path | t | f | t | f
9 | 16 | path | f | f | t | f
9 | 17 | path | t | t | f | t
9 | 18 | path | t | f | t | t
9 | 19 | path | t | f | t | f
10 | 0 | path | f | f | t | f
10 | 1 | path | t | t | f | t
10 | 2 | path | t | f | t | f
10 | 3 | path | f | f | t | t
10 | 4 | path | f | t | f | t
10 | 5 | path | t | t | f | t
10 | 6 | path | t | f | t | f
10 | 7 | path | t | f | t | f
10 | 8 | path | f | t | t | f
10 | 9 | path | t | t | f | f
10 | 10 | path | t | f | t | f
10 | 11 | path | t | f | t | f
10 | 12 | path | t | f | t | f
10 | 13 | path | t | t | t | f
10 | 14 | path | f | t | t | f
10 | 15 | path | t | t | f | f
10 | 16 | path | t | f | t | f
10 | 17 | path | f | f | t | t
10 | 18 | path | f | t | f | f
10 | 19 | path | t | f | f | f
11 | 0 | path | t | f | t | f
11 | 1 | path | t | f | t | t
11 | 2 | path | t | f | t | f
11 | 3 | path | f | f | t | f
11 | 4 | path | t | t | f | t
11 | 5 | path | f | f | t | t
11 | 6 | path | t | t | f | f
11 | 7 | path | f | t | t | f
11 | 8 | path | t | f | f | t
11 | 9 | path | t | f | t | t
11 | 10 | path | t | t | t | f
11 | 11 | path | t | f | t | f
11 | 12 | path | t | f | t | f
11 | 13 | path | f | t | t | t
11 | 14 | path | f | t | f | t
11 | 15 | path | f | t | f | t
11 | 16 | path | t | f | f | f
11 | 17 | path | t | f | t | f
11 | 18 | wall | t | t | t | t
11 | 19 | path | t | f | t | f
12 | 0 | path | t | f | t | f
12 | 1 | path | f | t | t | f
12 | 2 | path | t | t | f | f
12 | 3 | path | t | f | t | f
12 | 4 | path | f | f | t | t
12 | 5 | path | t | t | f | f
12 | 6 | wall | t | t | t | t
12 | 7 | wall | t | t | t | t
12 | 8 | path | t | f | t | f
12 | 9 | path | f | t | t | f
12 | 10 | path | f | t | f | t
12 | 11 | path | t | t | f | f
12 | 12 | path | t | f | t | f
12 | 13 | path | f | f | t | t
12 | 14 | path | f | t | f | t
12 | 15 | path | f | f | f | t
12 | 16 | path | t | t | f | f
12 | 17 | path | t | t | t | f
12 | 18 | path | f | f | t | t
12 | 19 | path | t | f | f | f
13 | 0 | path | t | f | t | f
13 | 1 | path | t | f | t | t
13 | 2 | path | f | f | t | t
13 | 3 | path | f | t | f | f
13 | 4 | path | t | t | f | f
13 | 5 | path | t | f | t | t
13 | 6 | path | f | f | t | t
13 | 7 | path | t | f | f | t
13 | 8 | path | f | t | t | f
13 | 9 | path | t | f | f | t
13 | 10 | path | f | t | t | t
13 | 11 | path | f | t | f | t
13 | 12 | path | t | t | f | f
13 | 13 | path | t | f | t | f
13 | 14 | path | f | f | t | t
13 | 15 | path | t | t | f | f
13 | 16 | path | f | f | t | t
13 | 17 | path | f | t | f | t
13 | 18 | path | t | t | f | f
13 | 19 | path | t | f | t | f
14 | 0 | path | f | t | t | f
14 | 1 | path | t | t | f | f
14 | 2 | path | t | f | t | f
14 | 3 | path | f | f | t | t
14 | 4 | path | f | t | f | t
14 | 5 | path | t | t | f | f
14 | 6 | path | t | f | t | f
14 | 7 | path | f | f | t | f
14 | 8 | path | t | t | f | t
14 | 9 | path | f | t | t | f
14 | 10 | path | f | t | f | t
14 | 11 | path | f | t | f | t
14 | 12 | path | t | f | f | t
14 | 13 | path | t | f | t | f
14 | 14 | path | f | f | t | f
14 | 15 | path | t | f | f | t
14 | 16 | path | f | f | t | f
14 | 17 | path | f | t | f | t
14 | 18 | path | t | t | f | t
14 | 19 | path | t | f | t | f
15 | 0 | path | f | f | t | t
15 | 1 | path | f | f | f | t
15 | 2 | path | t | t | f | f
15 | 3 | path | f | t | t | f
15 | 4 | path | f | t | f | t
15 | 5 | path | t | f | f | t
15 | 6 | path | t | f | t | f
15 | 7 | path | f | t | t | f
15 | 8 | path | f | t | f | t
15 | 9 | path | f | t | f | t
15 | 10 | path | f | t | f | t
15 | 11 | path | t | f | f | t
15 | 12 | path | t | f | t | f
15 | 13 | path | t | f | t | f
15 | 14 | path | t | f | t | f
15 | 15 | path | t | t | t | f
15 | 16 | path | f | t | t | f
15 | 17 | path | f | t | f | t
15 | 18 | path | t | f | f | t
15 | 19 | path | t | f | t | f
16 | 0 | path | t | t | t | f
16 | 1 | path | f | t | t | f
16 | 2 | path | f | t | f | t
16 | 3 | path | f | t | f | t
16 | 4 | path | t | f | f | t
16 | 5 | path | t | f | t | f
16 | 6 | path | f | t | t | f
16 | 7 | path | f | t | f | t
16 | 8 | path | f | t | f | t
16 | 9 | path | f | t | f | t
16 | 10 | path | t | f | f | t
16 | 11 | path | t | f | t | f
16 | 12 | path | t | f | t | f
16 | 13 | path | t | f | t | f
16 | 14 | path | f | t | t | f
16 | 15 | path | f | t | f | t
16 | 16 | path | t | f | f | t
16 | 17 | path | f | t | t | t
16 | 18 | path | t | t | f | f
16 | 19 | path | t | f | t | f
17 | 0 | path | f | t | t | t
17 | 1 | path | f | t | f | t
17 | 2 | path | t | f | f | t
17 | 3 | path | f | f | t | t
17 | 4 | path | t | t | f | f
17 | 5 | path | f | t | t | f
17 | 6 | path | f | t | f | t
17 | 7 | path | f | t | f | t
17 | 8 | path | f | t | f | t
17 | 9 | path | f | f | f | t
17 | 10 | path | t | f | f | f
17 | 11 | path | t | f | t | f
17 | 12 | path | t | f | t | f
17 | 13 | path | f | t | t | f
17 | 14 | path | f | t | f | t
17 | 15 | path | t | t | f | t
17 | 16 | path | t | t | t | f
17 | 17 | path | f | f | t | t
17 | 18 | path | f | t | f | t
17 | 19 | path | t | t | f | f
18 | 0 | path | f | f | t | t
18 | 1 | path | f | t | f | t
18 | 2 | path | t | t | f | f
18 | 3 | path | t | f | t | f
18 | 4 | path | f | f | t | t
18 | 5 | path | f | f | f | t
18 | 6 | path | f | t | f | t
18 | 7 | path | f | t | f | t
18 | 8 | path | t | t | f | t
18 | 9 | path | t | f | t | f
18 | 10 | path | t | f | t | f
18 | 11 | path | t | t | t | f
18 | 12 | path | f | t | t | f
18 | 13 | path | f | t | f | t
18 | 14 | path | f | t | f | t
18 | 15 | path | t | f | f | t
18 | 16 | path | f | f | t | t
18 | 17 | path | t | t | f | f
18 | 18 | path | f | f | t | t
18 | 19 | path | t | f | f | t
19 | 0 | path | f | t | t | f
19 | 1 | path | f | t | f | t
19 | 2 | path | f | t | f | t
19 | 3 | path | t | t | f | f
19 | 4 | path | t | t | t | f
19 | 5 | path | f | t | t | f
19 | 6 | path | f | t | f | t
19 | 7 | path | f | t | f | t
19 | 8 | path | f | t | f | t
19 | 9 | path | t | t | f | f
19 | 10 | path | f | t | t | f
19 | 11 | path | f | t | f | t
19 | 12 | path | f | t | f | t
19 | 13 | path | f | t | f | t
19 | 14 | path | f | t | f | t
19 | 15 | path | t | t | f | f
19 | 16 | path | f | t | t | f
19 | 17 | path | f | t | f | t
19 | 18 | path | t | t | f | f
19 | 19 | path | t | t | t | f
